                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2088,                   1.73,                 1.1843,                0.66806,                0.57415,                 0.6106,                 0.4286,                 1.0758,                 1.2748,                 1.0329,              0.0033303,              0.0033303,              0.0033303
                      2,                 1.1275,                 1.1902,                 1.1043,                0.71458,                0.58412,                0.64193,                0.45468,                 1.0695,                 1.1369,                 1.0538,              0.0064987,              0.0064987,              0.0064987
                      3,                 1.1568,                 1.1373,                 1.1203,                0.66941,                0.52596,                0.56947,                0.39185,                 1.1911,                  1.264,                 1.1057,              0.0095021,              0.0095021,              0.0095021
                      4,                 1.1616,                 1.0923,                 1.1286,                0.71398,                0.60821,                 0.6648,                0.46735,                  1.094,                 1.0763,                 1.0776,              0.0092575,              0.0092575,              0.0092575
                      5,                 1.1238,                 1.0141,                 1.1105,                0.75886,                0.65642,                0.72119,                0.51413,                 1.0331,                0.92981,                 1.0426,              0.0092575,              0.0092575,              0.0092575
                      6,                  1.086,                0.95509,                  1.094,                0.77522,                0.68028,                0.74107,                0.53209,                 1.0065,                0.88608,                 1.0201,                0.00901,                0.00901,                0.00901
                      7,                 1.0626,                0.90525,                 1.0822,                0.78421,                0.69333,                0.76278,                0.55636,                0.97683,                 0.8149,                 1.0128,              0.0087625,              0.0087625,              0.0087625
                      8,                 1.0348,                0.86949,                 1.0695,                0.80536,                0.71059,                0.78001,                0.57196,                 0.9563,                0.77546,                 1.0034,               0.008515,               0.008515,               0.008515
                      9,                 1.0266,                0.84508,                 1.0597,                0.82091,                0.72886,                0.79885,                0.58766,                0.94141,                0.73613,                0.99449,              0.0082675,              0.0082675,              0.0082675
                     10,                0.99663,                 0.8081,                 1.0489,                0.82203,                0.74392,                0.80759,                0.60202,                0.92394,                0.71299,                0.98446,                0.00802,                0.00802,                0.00802
                     11,                0.99203,                0.79309,                  1.045,                0.83418,                 0.7459,                0.81485,                 0.6069,                0.90845,                0.70356,                 0.9813,              0.0077725,              0.0077725,              0.0077725
